fips,state_abbrv,state,population,od_deaths,od_death_rate,median_income,deviation_us_median_income,gini,poverty_rate,unemployment_rate,deviation_us_unemployment_rate,number_uninsured,number_insured,uninsurance_rate,insurance_rate,no_hs_rate,only_hs_rate,college_rate,disability_rate,mean_low_debt_rate
01,AL,Alabama,4921532,1213,24.6,57243,-13943,0.4777,16,6.5,-1.5999999999999996,460936,3437796,11.8,88.2,13.126381874084473,30.333139419555664,26.227344512939453,16.9,1.3599999999999999
02,AK,Alaska,731158,179,24.5,78236,7050,0.423,10.3,8.2,0.09999999999999964,82020,550916,13,87,6.862542152404785,28.43933868408203,29.98680305480957,12.2,1.605
04,AZ,Arizona,7421401,2675,36,70220,-966,0.4661,14.1,7.7,-0.39999999999999947,798490,5121288,13.5,86.5,12.131906509399414,23.77166175842285,30.307079315185547,13.9,1.69
05,AR,Arkansas,3030522,585,19.3,53148,-18038,0.4792,16.1,6.1,-2,244865,2163768,10.2,89.8,12.846360206604004,33.88782501220703,23.816537857055664,19.2,1.26
06,CA,California,39368078,9452,24,81278,10092,0.4874,12.6,10.2,2.0999999999999996,2702033,30371373,8.2,91.8,16.075435638427734,20.368858337402344,34.71525573730469,11.3,1.6600000000000001
08,CO,Colorado,5807719,1536,26.4,87689,16503,0.4565,9.8,6.9,-1.1999999999999993,478483,4360494,9.9,90.1,7.916033744812012,21.203105926513672,41.603572845458984,11.2,1.81
09,CT,Connecticut,3557006,1434,40.3,83141,11955,0.4965,9.8,7.8,-0.2999999999999998,153667,2675465,5.4,94.6,9.061125755310059,26.328927993774414,40.01277542114258,12.3,1.38
10,DE,Delaware,986809,448,45.4,73292,2106,0.4568,11.4,7.6,-0.5,57517,704522,7.5,92.5,9.390471458435059,31.035051345825195,32.65962600708008,14.8,1.5750000000000002
11,DC,District of Columbia,712816,432,60.6,92337,21151,0.5212,15.5,8,-0.09999999999999964,21648,562308,3.7,96.3,8.129907608032227,16.603450775146484,59.75764083862305,10.5,0.4
12,FL,Florida,21733312,7480,34.4,60460,-10726,0.4856,13.3,8.2,0.09999999999999964,2576265,14054028,15.5,84.5,11.483189582824707,28.242870330810547,30.546354293823242,14.2,1.78
13,GA,Georgia,10710017,2024,18.9,62033,-9153,0.4814,14.3,6.5,-1.5999999999999996,1343754,7431444,15.3,84.7,12.129809379577637,27.519397735595703,32.197330474853516,13.5,1.475
15,HI,Hawaii,1407006,307,21.8,84600,13414,0.4414,9.3,12,3.9000000000000004,54122,1099356,4.7,95.3,7.514379024505615,27.30075454711914,33.56897735595703,12.1,2.06
16,ID,Idaho,1826913,295,16.1,69841,-1345,0.4422,11.9,5.5,-2.5999999999999996,166803,1328441,11.2,88.8,8.747503280639648,26.692155838012695,28.667980194091797,14.5,1.84
17,IL,Illinois,12587530,3629,28.8,77805,6619,0.4801,12,9.2,1.0999999999999996,857511,9390439,8.4,91.6,10.341533660888672,25.561017990112305,35.517215728759766,12.2,1.175
18,IN,Indiana,6754953,2369,35.1,69925,-1261,0.4502,12.9,7.2,-0.8999999999999995,489880,4970159,9,91,10.667393684387207,33.191585540771484,27.15506362915039,14.6,1.26
19,IA,Iowa,3163561,450,14.2,72030,844,0.4405,11.1,5.1,-3,145071,2379131,5.7,94.3,7.525474548339844,30.75595474243164,29.31852149963379,13,1.11
20,KS,Kansas,2913805,521,17.9,76495,5309,0.4561,11.4,5.7,-2.3999999999999995,244212,2119740,10.3,89.7,8.649260520935059,25.84877586364746,33.9234504699707,14.1,1.11
21,KY,Kentucky,4477251,2187,48.8,59405,-11781,0.4776,16.6,6.4,-1.6999999999999993,247848,3332634,6.9,93.1,12.840439796447754,32.631370544433594,25.023372650146484,18.4,1.175
