State,State Code,Deaths,Population,Crude Rate
Alabama,1,1213,4921532,24.6
Alaska,2,179,731158,24.5
Arizona,4,2675,7421401,36
Arkansas,5,585,3030522,19.3
California,6,9452,39368078,24
Colorado,8,1536,5807719,26.4
Connecticut,9,1434,3557006,40.3
Delaware,10,448,986809,45.4
District of Columbia,11,432,712816,60.6
Florida,12,7480,21733312,34.4
Georgia,13,2024,10710017,18.9
Hawaii,15,307,1407006,21.8
Idaho,16,295,1826913,16.1
Illinois,17,3629,12587530,28.8
Indiana,18,2369,6754953,35.1
Iowa,19,450,3163561,14.2
Kansas,20,521,2913805,17.9
Kentucky,21,2187,4477251,48.8
Louisiana,22,1953,4645318,42
Maine,23,513,1350141,38
Maryland,24,2814,6055802,46.5
Massachusetts,25,2449,6893574,35.5
Michigan,26,2957,9966555,29.7
Minnesota,27,1173,5657342,20.7
Mississippi,28,611,2966786,20.6
Missouri,29,1951,6151548,31.7
Montana,30,172,1080577,15.9
Nebraska,31,237,1937552,12.2
Nevada,32,866,3138259,27.6
New Hampshire,33,402,1366275,29.4
New Jersey,34,2921,8882371,32.9
New Mexico,35,836,2106319,39.7
New York,36,5165,19336776,26.7
North Carolina,37,3290,10600823,31
North Dakota,38,124,765309,16.2
Ohio,39,5376,11693217,46
Oklahoma,40,801,3980783,20.1
Oregon,41,997,4241507,23.5
Pennsylvania,42,5284,12783254,41.3
Rhode Island,44,407,1057125,38.5
South Carolina,45,1804,5218040,34.6
South Dakota,46,86,892717,9.6
Tennessee,47,3161,6886834,45.9
Texas,48,4384,29360759,14.9
Utah,49,658,3249879,20.2
Vermont,50,200,623347,32.1
Virginia,51,2331,8590563,27.1
Washington,53,1896,7693612,24.6
West Virginia,54,1397,1784787,78.3
Wisconsin,55,1560,5832655,26.7
Wyoming,56,104,582328,17.9
,,96096,329484123,29.2
